"X" "battery_name" "experiment_exp_id" "finishtime" "id" "options" "question_num" "required" "response" "response_text" "text" "worker_id"
"1" "brief_self_control_survey_s000_00" "Self Regulation Battery" "brief_self_control_survey" "2016-07-22 02:42:46" "brief_self_control_survey_2_options" "[{'text': 'Not at all: 1', 'value': '1', 'id': 'brief_self_control_survey_2_0'}, {'text': '2', 'value': '2', 'id': 'brief_self_control_survey_2_1'}, {'text': '3', 'value': '3', 'id': 'brief_self_control_survey_2_2'}, {'text': '4', 'value': '4', 'id': 'brief_self_control_survey_2_3'}, {'text': 'Very much: 5', 'value': '5', 'id': 'brief_self_control_survey_2_4'}]" 2 1 4 "4" "I am good at resisting temptation." "s001"
"2" "brief_self_control_survey_s000_01" "Self Regulation Battery" "brief_self_control_survey" "2016-07-22 02:42:46" "brief_self_control_survey_3_options" "[{'text': 'Not at all: 1', 'value': '5', 'id': 'brief_self_control_survey_3_0'}, {'text': '2', 'value': '4', 'id': 'brief_self_control_survey_3_1'}, {'text': '3', 'value': '3', 'id': 'brief_self_control_survey_3_2'}, {'text': '4', 'value': '2', 'id': 'brief_self_control_survey_3_3'}, {'text': 'Very much: 5', 'value': '1', 'id': 'brief_self_control_survey_3_4'}]" 3 1 4 "2" "I have a hard time breaking bad habits." "s001"
"3" "brief_self_control_survey_s000_02" "Self Regulation Battery" "brief_self_control_survey" "2016-07-22 02:42:46" "brief_self_control_survey_4_options" "[{'text': 'Not at all: 1', 'value': '5', 'id': 'brief_self_control_survey_4_0'}, {'text': '2', 'value': '4', 'id': 'brief_self_control_survey_4_1'}, {'text': '3', 'value': '3', 'id': 'brief_self_control_survey_4_2'}, {'text': '4', 'value': '2', 'id': 'brief_self_control_survey_4_3'}, {'text': 'Very much: 5', 'value': '1', 'id': 'brief_self_control_survey_4_4'}]" 4 1 5 "Not at all: 1" "I am lazy." "s001"
"4" "brief_self_control_survey_s000_03" "Self Regulation Battery" "brief_self_control_survey" "2016-07-22 02:42:46" "brief_self_control_survey_5_options" "[{'text': 'Not at all: 1', 'value': '5', 'id': 'brief_self_control_survey_5_0'}, {'text': '2', 'value': '4', 'id': 'brief_self_control_survey_5_1'}, {'text': '3', 'value': '3', 'id': 'brief_self_control_survey_5_2'}, {'text': '4', 'value': '2', 'id': 'brief_self_control_survey_5_3'}, {'text': 'Very much: 5', 'value': '1', 'id': 'brief_self_control_survey_5_4'}]" 5 1 4 "2" "I say inappropriate things." "s001"
"5" "brief_self_control_survey_s000_04" "Self Regulation Battery" "brief_self_control_survey" "2016-07-22 02:42:46" "brief_self_control_survey_6_options" "[{'text': 'Not at all: 1', 'value': '5', 'id': 'brief_self_control_survey_6_0'}, {'text': '2', 'value': '4', 'id': 'brief_self_control_survey_6_1'}, {'text': '3', 'value': '3', 'id': 'brief_self_control_survey_6_2'}, {'text': '4', 'value': '2', 'id': 'brief_self_control_survey_6_3'}, {'text': 'Very much: 5', 'value': '1', 'id': 'brief_self_control_survey_6_4'}]" 6 1 4 "2" "I do certain things that are bad for me, if they are fun." "s001"
"6" "brief_self_control_survey_s000_05" "Self Regulation Battery" "brief_self_control_survey" "2016-07-22 02:42:46" "brief_self_control_survey_7_options" "[{'text': 'Not at all: 1', 'value': '1', 'id': 'brief_self_control_survey_7_0'}, {'text': '2', 'value': '2', 'id': 'brief_self_control_survey_7_1'}, {'text': '3', 'value': '3', 'id': 'brief_self_control_survey_7_2'}, {'text': '4', 'value': '4', 'id': 'brief_self_control_survey_7_3'}, {'text': 'Very much: 5', 'value': '5', 'id': 'brief_self_control_survey_7_4'}]" 7 1 3 "3" "I refuse things that are bad for me." "s001"
"7" "brief_self_control_survey_s000_06" "Self Regulation Battery" "brief_self_control_survey" "2016-07-22 02:42:46" "brief_self_control_survey_8_options" "[{'text': 'Not at all: 1', 'value': '5', 'id': 'brief_self_control_survey_8_0'}, {'text': '2', 'value': '4', 'id': 'brief_self_control_survey_8_1'}, {'text': '3', 'value': '3', 'id': 'brief_self_control_survey_8_2'}, {'text': '4', 'value': '2', 'id': 'brief_self_control_survey_8_3'}, {'text': 'Very much: 5', 'value': '1', 'id': 'brief_self_control_survey_8_4'}]" 8 1 4 "2" "I wish I had more self-discipline." "s001"
"8" "brief_self_control_survey_s000_07" "Self Regulation Battery" "brief_self_control_survey" "2016-07-22 02:42:46" "brief_self_control_survey_9_options" "[{'text': 'Not at all: 1', 'value': '1', 'id': 'brief_self_control_survey_9_0'}, {'text': '2', 'value': '2', 'id': 'brief_self_control_survey_9_1'}, {'text': '3', 'value': '3', 'id': 'brief_self_control_survey_9_2'}, {'text': '4', 'value': '4', 'id': 'brief_self_control_survey_9_3'}, {'text': 'Very much: 5', 'value': '5', 'id': 'brief_self_control_survey_9_4'}]" 9 1 3 "3" "People would say that I have iron self-discipline." "s001"
"9" "brief_self_control_survey_s000_08" "Self Regulation Battery" "brief_self_control_survey" "2016-07-22 02:42:46" "brief_self_control_survey_10_options" "[{'text': 'Not at all: 1', 'value': '5', 'id': 'brief_self_control_survey_10_0'}, {'text': '2', 'value': '4', 'id': 'brief_self_control_survey_10_1'}, {'text': '3', 'value': '3', 'id': 'brief_self_control_survey_10_2'}, {'text': '4', 'value': '2', 'id': 'brief_self_control_survey_10_3'}, {'text': 'Very much: 5', 'value': '1', 'id': 'brief_self_control_survey_10_4'}]" 10 1 5 "Not at all: 1" "Pleasure and fun sometimes keep me from getting work done." "s001"
"10" "brief_self_control_survey_s000_09" "Self Regulation Battery" "brief_self_control_survey" "2016-07-22 02:42:46" "brief_self_control_survey_11_options" "[{'text': 'Not at all: 1', 'value': '5', 'id': 'brief_self_control_survey_11_0'}, {'text': '2', 'value': '4', 'id': 'brief_self_control_survey_11_1'}, {'text': '3', 'value': '3', 'id': 'brief_self_control_survey_11_2'}, {'text': '4', 'value': '2', 'id': 'brief_self_control_survey_11_3'}, {'text': 'Very much: 5', 'value': '1', 'id': 'brief_self_control_survey_11_4'}]" 11 1 4 "2" "I have trouble concentrating." "s001"
